Key,File,Type,UsedInMainMenu,NoTranslate,english,Context/Coverage Notes
hemsoftqol_key_tt,HemSoftQoL,Settings,False,False,The key to press for this action,Tooltip for key setting
hemsoftqol_show_level,HemSoftQoL,Settings,False,False,Show Level,Setting to show player level
hemsoftqol_show_level_tt,HemSoftQoL,Settings,False,False,Display your current player level on the info panel,Tooltip for level setting
hemsoftqol_show_gamestage,HemSoftQoL,Settings,False,False,Show Gamestage,Setting to show gamestage
hemsoftqol_show_gamestage_tt,HemSoftQoL,Settings,False,False,Display your gamestage (affects enemy difficulty),Tooltip for gamestage setting
hemsoftqol_show_lootstage,HemSoftQoL,Settings,False,False,Show Lootstage,Setting to show lootstage
hemsoftqol_show_lootstage_tt,HemSoftQoL,Settings,False,False,Display your lootstage (affects loot quality),Tooltip for lootstage setting
hemsoftqol_show_day,HemSoftQoL,Settings,False,False,Show Day,Setting to show current day
hemsoftqol_show_day_tt,HemSoftQoL,Settings,False,False,Display the current in-game day,Tooltip for day setting
hemsoftqol_show_bloodmoon,HemSoftQoL,Settings,False,False,Show Blood Moon,Setting to show blood moon countdown
hemsoftqol_show_bloodmoon_tt,HemSoftQoL,Settings,False,False,Display countdown to the next blood moon,Tooltip for blood moon setting
hemsoftqol_show_kills,HemSoftQoL,Settings,False,False,Show Kills,Setting to show zombie kills
hemsoftqol_show_kills_tt,HemSoftQoL,Settings,False,False,Display your total zombie kills,Tooltip for kills setting
hemsoftqol_show_enemy,HemSoftQoL,Settings,False,False,Show Nearest Enemy,Setting to show nearest enemy
hemsoftqol_show_enemy_tt,HemSoftQoL,Settings,False,False,Display the nearest hostile and enemy count,Tooltip for enemy setting
hemsoftqol_show_biome,HemSoftQoL,Settings,False,False,Show Biome,Setting to show current biome
hemsoftqol_show_biome_tt,HemSoftQoL,Settings,False,False,Display the name of the biome you are in,Tooltip for biome setting
hemsoftqol_show_poi,HemSoftQoL,Settings,False,False,Show Location,Setting to show POI/location
hemsoftqol_show_poi_tt,HemSoftQoL,Settings,False,False,Display your current location or POI,Tooltip for POI setting
hemsoftqol_show_coords,HemSoftQoL,Settings,False,False,Show Coordinates,Setting to show coordinates
hemsoftqol_show_coords_tt,HemSoftQoL,Settings,False,False,Display your current X and Z coordinates,Tooltip for coordinates setting
hemsoftqol_show_session,HemSoftQoL,Settings,False,False,Show Session Time,Setting to show session time
hemsoftqol_show_session_tt,HemSoftQoL,Settings,False,False,Display your current session playtime (resets on game restart),Tooltip for session time setting
hemsoftqol_show_lootpopup,HemSoftQoL,Settings,False,False,Lootstage Change Popup,Setting to enable lootstage change notification
hemsoftqol_show_lootpopup_tt,HemSoftQoL,Settings,False,False,Show a popup notification when your lootstage increases or decreases,Tooltip for lootstage popup setting
hemsoftqol_cat_panelsettings,HemSoftQoL,Settings,False,False,Panel Settings,Category for info panel appearance settings
hemsoftqol_cat_panelsettings_tt,HemSoftQoL,Settings,False,False,Adjust the appearance of the info panel,Tooltip for panel settings category
hemsoftqol_panel_width,HemSoftQoL,Settings,False,False,Panel Width,Setting for panel width
hemsoftqol_panel_width_tt,HemSoftQoL,Settings,False,False,Width of the info panel in pixels (100-300),Tooltip for panel width setting
hemsoftqol_cat_lootnotif,HemSoftQoL,Settings,False,False,Lootstage Notification,Category for lootstage notification appearance settings
hemsoftqol_cat_lootnotif_tt,HemSoftQoL,Settings,False,False,Customize the position and appearance of the lootstage change notification,Tooltip for notification settings category
hemsoftqol_notif_x,HemSoftQoL,Settings,False,False,Notification X Position,Setting for notification horizontal position
hemsoftqol_notif_x_tt,HemSoftQoL,Settings,False,False,Horizontal position of the notification (0 = left edge),Tooltip for notification X setting
hemsoftqol_notif_y,HemSoftQoL,Settings,False,False,Notification Y Position,Setting for notification vertical position
hemsoftqol_notif_y_tt,HemSoftQoL,Settings,False,False,Vertical position of the notification (0 = top edge),Tooltip for notification Y setting
hemsoftqol_notif_width,HemSoftQoL,Settings,False,False,Notification Width,Setting for notification width
hemsoftqol_notif_width_tt,HemSoftQoL,Settings,False,False,Width of the notification panel in pixels (400-1200),Tooltip for notification width setting
hemsoftqol_notif_titlefont,HemSoftQoL,Settings,False,False,Title Font Size,Setting for notification title font size
hemsoftqol_notif_titlefont_tt,HemSoftQoL,Settings,False,False,Font size for the notification title (18-72),Tooltip for title font setting
hemsoftqol_notif_valuefont,HemSoftQoL,Settings,False,False,Value Font Size,Setting for notification values font size
hemsoftqol_notif_valuefont_tt,HemSoftQoL,Settings,False,False,Font size for the lootstage values (16-64),Tooltip for value font setting
